TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
39,14,RI,21069,43025,"3,999.55","29,239.54",
25,38,BV,23651,39400,"3,015.08","29,257.42",
28,2,BI,22456,38777,"3,084.42","29,266.20",
3,13,LI,16353,44066,"5,607.74","29,285.73",
13,16,RI,19541,52736,"6,167.38","29,296.71",
25,39,BI,20603,63083,"4,063.44","29,302.68",
38,3,RI,20985,39480,"3,645.88","29,314.03",
25,39,BV,24059,34590,"2,086.80","29,378.92",
4,14,BV,16314,52731,"6,706.58","29,382.93",
39,3,RV,23372,33873,"1,766.29","29,401.40",
38,28,RV,21375,38597,"3,466.22","29,409.71",
4,38,BI,21411,38786,"2,968.29","29,415.91",
3,38,TV,21915,42091,"3,278.86","29,424.09",
3,37,TI,14329,52684,"6,731.53","29,435.91",
4,15,TV,20910,59831,"7,028.79","29,446.06",
37,13,BV,17947,58516,"6,660.29","29,474.80",
27,13,RI,20120,40042,"3,189.80","29,489.13",
15,1,TV,20460,45864,"4,254.12","29,503.71",
14,16,LV,20170,37838,"3,418.67","29,525.49",
14,4,RI,20433,41516,"3,720.98","29,527.36",
27,25,TV,20521,38998,"4,162.46","29,529.69",
26,38,BV,24139,38522,"2,852.00","29,565.15",
37,28,BV,22680,36633,"2,336.23","29,566.06",
28,16,LI,16257,41007,"4,579.45","29,566.07",
28,3,BV,22361,41664,"3,267.83","29,587.58",
26,39,TV,21949,35723,"1,991.40","29,592.77",
26,40,BV,23564,38927,"2,215.69","29,609.78",
1,39,TV,20390,39617,"2,760.23","29,614.81",
27,3,RV,24759,34201,"1,954.14","29,621.07",
1,15,RI,20714,38617,"3,684.83","29,631.59",
25,4,RV,19775,37371,"3,085.00","29,638.98",
28,4,TI,15566,44344,"7,403.77","29,644.77",
28,14,LI,18225,44143,"5,511.14","29,649.41",
39,14,BV,19596,47577,"5,672.88","29,655.05",
3,39,TI,14796,47998,"7,181.81","29,659.09",
25,3,RV,22623,39324,"2,891.94","29,706.42",
4,13,RI,19927,41279,"3,410.75","29,711.10",
25,37,BI,22533,38237,"3,232.84","29,730.03",
4,16,BV,16282,82573,"8,767.47","29,732.55",
3,1,RV,23340,38047,"2,831.63","29,739.75",
25,37,BV,21341,36828,"2,321.25","29,747.81",
3,15,BV,16320,50252,"6,510.00","29,752.91",
2,13,TI,16969,44387,"6,014.00","29,754.23",
15,1,RI,18607,44325,"4,607.56","29,790.56",
4,14,RI,22885,37991,"2,775.14","29,793.59",
25,13,BV,16825,51914,"7,117.86","29,802.24",
27,15,LI,17874,45035,"5,666.82","29,826.58",
38,28,BI,21360,39596,"3,304.65","29,842.66",
14,4,BI,21546,39192,"3,429.88","29,856.24",
38,13,BI,21704,43012,"4,893.19","29,914.44",
26,16,RI,18983,38251,"3,979.75","29,920.06",
40,13,TI,19524,44680,"5,650.69","29,932.96",
14,28,RV,15907,39811,"4,384.11","29,933.25",
1,13,RI,23202,42910,"3,693.20","29,941.36",
4,26,TV,22203,41829,"3,507.95","29,956.92",
28,37,BI,23318,37383,"2,701.07","29,957.78",
1,15,LI,17770,47374,"6,227.03","29,971.33",
16,25,RI,22596,39751,"4,051.85","29,982.79",
38,27,TI,21180,44268,"4,543.53","29,996.17",
40,16,RV,22110,35516,"2,867.33","29,999.79",
16,37,TI,13006,48733,"7,173.24","30,004.38",
39,13,LV,22501,37520,"3,097.89","30,008.72",
27,37,TI,16253,43455,"4,879.62","30,010.85",
3,26,RI,20116,42850,"4,074.32","30,023.74",
39,27,BI,21384,42023,"4,350.11","30,037.43",
3,25,BI,21032,41321,"4,582.20","30,041.27",
39,13,LI,16201,55793,"7,815.08","30,093.02",
37,14,RI,22285,37006,"3,081.52","30,111.53",
38,25,TI,20573,42504,"4,369.18","30,116.94",
28,1,RI,18134,38935,"3,916.95","30,130.95",
37,26,BV,24118,35978,"2,624.52","30,138.27",
1,40,TV,23716,38913,"2,772.56","30,148.55",
14,39,TV,22384,35965,"2,323.53","30,149.71",
16,37,LI,19215,48150,"6,551.07","30,154.01",
4,25,BI,22148,38790,"3,309.55","30,158.12",
13,37,TI,12884,46615,"5,632.45","30,171.74",
3,40,TV,23301,37686,"2,598.24","30,178.58",
26,14,RV,24139,36764,"2,378.12","30,181.59",
14,39,LI,18140,44222,"6,084.03","30,186.41",
1,15,BV,17824,47834,"5,997.96","30,189.54",
15,39,TV,22971,37377,"3,275.02","30,194.42",
38,1,RI,18293,41891,"4,174.01","30,196.34",
39,2,RV,23725,41257,"2,585.55","30,211.15",
